round_id,mean_reward,std_reward,min_reward,max_reward,n_seeds
1,28.720222537825343,20.308833856608,8.696106190132845,58.20903940558995,5
2,42.247531586413096,10.983174178484933,29.660759872379938,55.14429545570984,5
3,43.17480638706586,19.083598395230315,22.41042370843688,73.57601599710087,5
4,111.14413344794848,38.71721067113549,40.79954464945403,153.48236194077143,5
5,112.93300205460632,40.361993238097625,75.85568981795555,178.34167035447422,5
6,151.01323491267038,26.85746766863829,105.27741985438863,181.80694634438348,5
7,89.25760561891634,25.059135426911926,51.79445741633238,126.75743882528681,5
8,174.19623842884994,26.1323688038511,123.65583616964281,196.56950259627826,5
9,164.95415263818336,58.45280618350378,99.40417975244176,247.00552262971334,5
10,189.78768570481998,28.07446868101115,151.21386085245894,223.68178785259693,5
11,180.76091628668811,36.418487942528,147.675583393829,240.2606471635362,5
12,205.52590279935097,22.635621611325195,171.59826950524882,236.78989448159,5
13,145.6119958763467,57.227657356551,72.06276193087727,209.78427127744038,5
14,189.8808186088009,28.239022990871877,145.11988992107985,224.31061573810535,5
15,209.6757775772714,36.442752132452384,145.11967845401387,252.88243318341245,5
16,162.1809712752444,33.27648172749549,120.34692742003693,212.86981277887537,5
17,193.20755129348257,28.10738541214688,156.59379170669916,221.1438079736796,5
18,169.67067531083055,36.550410208719626,122.59605843669112,231.81004194078267,5
19,204.60660754755168,20.340422494120748,170.7039297748014,224.27216682811232,5
20,228.02377193090447,40.67536614080332,157.83573731286327,269.61312929785123,5
21,207.12752976220244,28.80281829236641,156.83843132647837,246.4397272517252,5
22,198.88377495035223,50.13758115009401,130.04511012973228,258.08894380897937,5
23,178.65496887791042,48.6896907772047,104.07725730741436,224.46767460306245,5
24,216.01528696020432,46.27767526682728,157.39677943466282,292.0522987518601,5
25,196.4700230784229,19.0580898830225,163.67420067751766,216.5210732847279,5
26,202.8956561481345,52.026617209204105,138.5871369428061,277.9327152004455,5
27,210.22376186624493,56.93350865869324,112.04953338830934,278.781509383239,5
28,236.40981467145338,47.97472193577372,161.25009403866198,305.8071429575219,5
29,202.26326334916203,34.43048568926527,151.01647863035856,239.53789867312702,5
30,218.43676663769264,20.1091350477497,179.27428893958893,237.05182056810642,5
31,224.64400185206506,37.05464868762375,164.75779105979166,264.7930603851535,5
32,217.46113507983642,36.423113310422096,166.67802156267288,262.41591549906684,5
33,198.2340358926448,27.33583974076207,149.3614345691111,226.41096386892139,5
34,205.29409555930033,36.07840657337447,160.2105885384092,247.50367693727128,5
35,232.34902423222152,39.47257836356674,182.6758401646143,283.0970645918763,5
36,206.0826020566414,46.08696692143107,149.2963321235962,255.07739365640825,5
37,219.30604058946128,52.09668731599492,156.41782335399597,308.0866559557963,5
38,216.96541549967318,34.74588445047373,177.0345209887467,279.32598326421066,5
39,172.589227228319,54.72020016702384,120.98361498201345,243.45260404300467,5
40,236.51485713747167,47.29460814171828,161.40659932847782,303.19250791902687,5
41,174.8034655818405,31.699790162305217,125.79059957939725,213.49018273308639,5
42,223.74464923600817,51.256540022752496,173.5222893895007,322.6566859563686,5
43,226.39490957036327,37.990096814718,174.35652240774,289.2290819946972,5
44,232.882587869073,35.37146171851475,187.8593745761834,279.0788708202241,5
45,199.64312628135457,40.95322171049418,162.07249956245408,268.087934250809,5
46,207.08217233517206,33.560726150661004,154.10767647791397,256.23858441746944,5
47,210.31041225877252,50.38167269745369,144.07199611933856,267.60936474818084,5
48,237.0680388603079,84.5797690481979,145.18967434000075,391.2725589903361,5
49,243.21507872035986,27.78314815968175,204.2728593772022,276.9952942965802,5
50,202.97224252612608,52.96038954920372,131.3395026078092,290.8874065880675,5
