round_id,eval_reward_mean,eval_reward_max,eval_reward_min,num_rollout_workers,boost_score,hessian_eigen_ratio,rollback,rollback_count,duration,cost
1,90.69224452312115,173.44916974007404,7.93531930616826,4,1.0,0.8850901286163506,False,0,0.3362722396850586,0.00035399918367833266
2,40.06746912239224,71.9070791780688,8.227859066715682,3,0.0,2.564022394249801,False,0,0.5428931713104248,0.0009255115382170971
3,111.11185478645736,191.91538934674276,30.30832022617196,2,0.0,2.399777930847825,False,0,0.6040694713592529,0.0015614251656591157
4,153.37513049720508,196.79189849911626,109.95836249529387,2,0.0,1.9435363091403415,False,0,0.5912625789642334,0.0021838567719341794
5,184.8805921845846,363.8381458792095,5.9230384899597155,1,0.0,1.8542884923001908,False,0,0.7135100364685059,0.0029349802387202226
6,9.316207618687807,10.75687843278918,7.8755368045864325,1,0.0,1.2208220766959605,False,0,0.24725651741027832,0.0031952711429124995
7,57.44053354095989,105.79354018663474,9.087526895285038,4,1.0,3.3203833841102632,False,0,0.5101144313812256,0.003732276791849254
8,20.296136647919212,29.5585774510045,11.033695844833924,1,0.0,0.7120377377811508,False,0,0.279590368270874,0.004026606059780827
9,22.575565887435516,31.714689443374702,13.436442331496332,1,0.0,1.6355042090040557,False,0,0.6538076400756836,0.004714879855697538
10,121.48480535015483,141.02739380973298,101.94221689057669,1,0.0,1.460781390568963,False,0,0.33541035652160645,0.005067971721137012
11,28.139672070693884,40.68801805218081,15.591326089206957,1,0.0,1.0741295691254025,False,0,0.2953197956085205,0.005378859609674525
12,86.51152384255279,142.77513517875164,30.247912506353952,1,0.0,3.667023122051086,True,1,0.848660945892334,0.006272258607899702
13,93.79892573798972,129.10740755817304,58.49044391780641,1,0.0,0.6649347500754965,False,1,0.3233201503753662,0.006612622919288684
14,23.054331854853558,31.23119415264125,14.877469557065865,1,0.14104625149892938,1.6126827127576537,False,1,0.632756233215332,0.007278735561341417
15,67.07299700943777,97.34085155888593,36.805142459989604,1,0.07556481848829658,1.234946267113668,False,1,0.3308229446411133,0.0076269981846691665
