round_id,eval_reward_mean,eval_reward_max,eval_reward_min,num_rollout_workers,boost_score,hessian_eigen_ratio,rollback,duration,cost
1,11.900247676027657,14.39076900045536,9.409726351599952,4,1.0,0.6246771780515957,False,0.22436833381652832,0.00023619614598191814
2,29.660759872379938,49.24367092840551,10.077848816354368,4,1.0,1.954973560174552,False,0.3136565685272217,0.000566387449664834
3,22.41042370843688,32.08991770842974,12.730929708444023,2,0.13060715862727562,0.8778887871434424,False,0.27845215797424316,0.0008595185053495713
4,40.79954464945403,55.471184251961745,26.127905046946307,2,0.056719085575659925,0.8243164867709815,False,0.2840549945831299,0.0011585477570545525
5,141.67947472094238,179.31964173287025,104.0393077090145,1,0.49608854359992766,1.6221339097538594,False,0.3555569648742676,0.0015328482804475006
6,181.80694634438348,228.1930938891628,135.42079879960414,1,0.08785646200844466,0.997925988632612,False,0.3955850601196289,0.0019492870221314606
7,79.86871924646374,99.40268012472134,60.334758368206145,1,0.0,0.6548123204430092,False,0.29173994064331055,0.0022564063398926347
8,123.65583616964281,152.79680223824,94.51487010104562,1,0.03297406561961674,0.7337509581860203,False,0.34200072288513184,0.0026164359897743036
9,122.45071857109659,171.7540534520897,73.14738369010347,4,1.0,1.4667583206873376,False,0.3428208827972412,0.0029773290351585106
10,223.68178785259693,225.64718161292217,221.71639409227168,4,1.0,2.217574506031693,False,0.40082669258117676,0.003399285727459707
11,240.2606471635362,247.86888202104512,232.65241230602723,1,0.019035235931596985,1.1939030595956497,False,0.4349062442779541,0.0038571185107878696
12,171.59826950524882,241.21219690274748,101.98434210775018,1,0.06618269846421543,1.4008753735368185,False,0.41562914848327637,0.0042946579859874864
13,86.43836746092748,89.0955823370573,83.78115258479768,1,0.0,0.889107945100479,False,0.2935018539428711,0.004603632098156728
14,207.20697141647264,213.85824592461043,200.55569690833485,1,0.0,0.8834590396416683,False,0.4085526466369629,0.005033722026289244
15,252.88243318341245,259.2857738364384,246.47909253038645,1,0.06412213473914619,1.0269664504411677,False,0.44752955436706543,0.0055048435707445486
16,212.86981277887537,229.731214199487,196.00841135826374,1,0.3928606971205041,1.3572862894058182,False,0.40115928649902344,0.00592715039000099
17,221.1438079736796,232.82835460387227,209.45926134348693,1,0.0,0.3109054701830994,False,0.4001789093017578,0.006348425150447421
18,231.81004194078267,252.59967923768787,211.02040464387747,1,0.19321528922796308,0.8080880213221799,False,0.4152085781097412,0.006785521884464922
19,224.27216682811232,229.35883471797462,219.18549893825002,1,0.1358668801729042,0.6920456389855338,False,0.3891458511352539,0.007195181967505702
20,269.61312929785123,305.7646389580919,233.46161963761054,1,0.2169530877662136,0.9474399409086977,False,0.4202382564544678,0.0076375735246399295
21,246.4397272517252,250.1590000375953,242.7204544658551,1,0.0,0.6470565080250862,False,0.419022798538208,0.008078685549718361
22,251.1467742367831,264.35947380701356,237.93407466655265,1,0.47437616782611064,1.45761457668486,False,0.4187159538269043,0.008519474554444536
23,137.1514195419103,210.2710466741923,64.0317924096283,1,0.36366921802148255,1.8023041028369422,False,0.3982071876525879,0.00893867365186597
24,292.0522987518601,296.04164977475034,288.06294772896996,1,0.0,1.294888292766594,False,0.4246354103088379,0.009385694163434299
25,193.67754208412165,244.5464695820052,142.80861458623812,1,0.0,1.2222804948845223,False,0.4292888641357422,0.009837613440531271
26,201.39590489591117,230.45528511651773,172.33652467530462,1,0.0,1.1572651275536412,False,0.38278770446777344,0.010240580200530865
27,278.781509383239,325.3891852806621,232.1738334858159,1,0.0,0.9746318591354588,False,0.50888991355896,0.010776296779903365
28,305.8071429575219,361.0176542658268,250.5966316492169,2,0.6794413837872801,2.9299683456230317,False,0.5020871162414551,0.01130485194535903
29,172.16841553594972,229.99216962208098,114.34466144981847,1,0.05849280542667637,1.5555705959924557,False,0.39273881912231445,0.011718294403464707
30,224.5883035546245,235.65238945642096,213.52421765282804,1,0.0,0.6993324967044193,False,0.42244482040405273,0.012163008845882652
31,218.74792178954806,267.2024768888002,170.29336669029587,1,0.04495273959770522,1.1626105863660803,False,0.4000844955444336,0.012584184215451464
32,237.88908642765819,252.35945075296956,223.4187221023468,1,0.06149601852281693,1.0653893933302097,False,0.4077632427215576,0.013013443125412787
33,221.4537288569189,315.9548909894509,126.95256672438687,1,0.047969976519342206,1.2710572071471165,False,0.5122003555297852,0.013552644660178526
34,160.2105885384092,240.92866614287365,79.49251093394477,1,0.0,1.0959458939586888,False,0.39868950843811035,0.01397235150443183
35,258.187717495709,271.6381653935529,244.7372695978651,1,0.0751992708211804,1.4546818233381826,False,0.4299912452697754,0.014425010189421383
36,255.07739365640825,275.95954315359415,234.19524415922234,1,0.08334367176542401,1.6171466456195,False,0.4642965793609619,0.014913782650188164
37,156.41782335399597,159.90008524421452,152.9355614637774,1,0.017906484577023676,1.6813033101362245,False,0.3565673828125,0.015289146856761273
38,193.46750722509088,224.40056694616692,162.53444750401485,1,0.3958676815430766,4.197759740059328,False,0.37704920768737793,0.015686072609100814
39,120.98361498201345,125.25051365546133,116.71671630856558,1,0.05756355963636106,2.9066887683885447,False,0.3285074234008789,0.01603189764605628
40,235.84739657249446,240.8778829277316,230.81691021725732,1,0.0,0.9178212317743575,False,0.424884557723999,0.016479180439107212
41,203.73851972554877,231.2301311244491,176.24690832664848,1,0.008142643566251367,1.1305267608802632,False,0.42445802688598633,0.01692601421629941
42,212.1962527324162,241.51951234955771,182.87299311527468,1,0.07555905541377862,2.1404635485847368,False,0.40217018127441406,0.01734938522071014
43,289.2290819946972,303.78251283311863,274.67565115627576,1,0.13748373070751851,2.760584041359986,False,0.5293116569519043,0.017906600097108767
44,253.4276325940368,315.74547214295245,191.10979304512114,1,0.0,1.767063169736744,False,0.4438514709472656,0.01837384966411708
45,167.95742900832488,233.3678405818781,102.54701743477165,1,0.0,1.1328156806822627,False,0.3764791488647461,0.018770175306384942
46,223.30391580817025,247.02047917469642,199.58735244164404,1,0.0,0.3976941111765907,False,0.4149765968322754,0.0192070278299885
47,144.07199611933856,177.62927200730425,110.51472023137288,1,0.2127723732375805,2.887178297212494,False,0.41411876678466797,0.019642977302133297
48,177.53932845199066,183.38763895662026,171.69101794736105,1,0.03128294646369412,1.058884715587434,False,0.3804023265838623,0.020043432936550653
49,276.9952942965802,305.24505824373006,248.7455303494303,1,0.06550904991687752,2.4286750868426674,False,0.43828487396240234,0.020504822457572555
50,213.19837693194512,321.9520256926551,104.44472817123514,1,0.0,0.8448190592812758,False,0.4420742988586426,0.02097020116700066
